NAME,AXIOM_NB,SUBSUMED,NEW_FTGD_NB,NEW_NFTGD_NB,OUTPUT_SIZE,TIME
00500,1988,2081,148776,2846,3375,16479
00501,0,0,0,0,0,194
00502,3800,40,3563,2812,3646,789
00503,258,0,0,0,258,259
00504,661,82,892,351,686,362
00505,160,0,139,35,159,252
00508,298,83,292,380,306,310
00509,0,0,0,0,0,192
00510,0,0,0,0,0,194
00511,614,815,1405,1630,632,394
00512,823,373,1379,1589,1288,485
00513,347,1,282,219,331,308
00514,347,1,305,203,331,299
00515,3232,234,2665,2253,3105,640
00516,7989,0,0,0,7989,559
00517,11177,0,0,0,11177,679
00518,9363,608,1171532,14441,0,TIMEOUT
00519,166,0,118,109,143,270
00520,167,0,125,114,144,269
00521,10916,0,5675,16151,10908,6222
00522,4402,0,3191,4894,4082,1198
00523,4402,0,3182,4865,4082,1184
00524,0,0,0,0,0,223
00525,0,0,0,0,0,204
00526,473,16,290,789,350,342
00527,506,0,427,312,499,349
00528,0,0,0,0,0,190
00529,0,0,0,0,0,201
00530,10612,152,10740,1785,10611,1491
00531,11846,215,12064,2077,11840,1737
00532,49670,50651,108369,71953,43913,229069
00533,85832,11589,72589,135530,0,TIMEOUT
00534,630,35397,38661,945,630,1788
00535,4622,92424,1123161,9647,10681,442660
00536,43099,31528,360971,50328,0,TIMEOUT
00537,62949,39994,169322,102346,0,TIMEOUT
00538,204,3512,3614,306,204,401
00539,208,3537,3682,312,211,401
00540,14906,40588,135636,6865,14833,26228
00541,37703,189736,633551,132433,0,TIMEOUT
00542,18,72,81,27,18,233
00543,18,72,81,27,18,236
00544,9243,85,7637,10894,8697,3505
00545,9627,273,8011,13386,9077,4294
00546,2727,1,1998,2380,2487,650
00547,2732,9,2046,2410,2490,662
00548,4454,0,4314,453,4441,607
00549,458,0,0,0,458,303
00550,856,8,802,162,851,340
00551,0,0,0,0,0,189
00552,0,0,0,0,0,201
00553,110363,15158,138333,87101,0,TIMEOUT
00554,132350,9241,138093,76136,0,TIMEOUT
00555,1044,2709,11870,731,1052,733
00556,1948,3276,3937,5864,2297,668
00558,0,0,0,0,0,187
00559,0,0,0,0,0,192
00560,138,18,183,139,134,268
00561,762,147,812,669,779,405
00562,767,10,733,290,764,380
00563,1058,35,987,499,1046,392
00564,0,0,0,0,0,200
00565,0,0,0,0,0,202
00566,52406,2869,51973,27273,50883,59487
00567,516,0,0,0,516,300
00568,516,0,0,0,516,278
00569,2652,6318,33156,3046,2520,2444
00570,1140,5,1064,351,1130,394
00571,1396,23,1373,463,1388,401
00572,76599,21751,102441,114154,0,TIMEOUT
00573,128026,4582,77016,96822,0,TIMEOUT
00574,736,1944,16033,965,1178,960
00575,700,2121,16117,1005,1124,1004
00576,92,35,80,232,90,260
00577,31,0,15,45,16,224
00578,1333,20,1006,1361,1221,455
00579,2235,1482,20636,2595,2210,1522
00580,280,0,262,49,280,275
00581,321,0,298,75,321,288
00582,803,129,1572,589,743,404
00583,0,0,0,0,0,191
00584,0,0,0,0,0,200
00585,0,0,0,0,0,193
00586,0,0,0,0,0,188
00587,0,0,0,0,0,187
00588,0,0,0,0,0,192
00589,1051,0,926,562,988,391
00590,614,201,676,621,669,376
00591,2598,45,2460,802,2565,502
00592,3520,107,3323,1498,3441,592
00593,2241,0,2020,716,2172,478
00594,2161,0,2084,391,2140,477
00595,2918,612,3504,1068,2897,566
00596,2203,0,2085,411,2180,484
00597,2961,601,3599,1066,2934,592
00598,5,0,2,7,3,230
00599,5,0,2,7,3,218
00600,2160,0,2084,349,2139,448
00601,0,0,0,0,0,195
00602,0,0,0,0,0,192
00603,20,0,0,0,20,206
00604,22,0,0,0,32,213
00605,734,52,624,627,658,351
00606,734,55,654,611,659,351
00607,0,0,0,0,0,194
00608,0,0,0,0,0,195
00609,,0,0,0,0,222
00610,81,0,0,0,81,223
00611,24,0,0,0,24,209
00612,81,0,0,0,81,226
00613,84,0,0,0,94,234
00614,24,0,0,0,24,209
00615,24,0,0,0,24,213
00616,53,0,0,0,64,215
00617,52,0,0,0,63,219
00618,33,0,0,0,44,210
00619,30,0,0,0,31,211
00620,49,0,0,0,58,215
00621,51,0,0,0,70,212
00622,29,0,0,0,38,219
00623,29,0,0,0,38,207
00624,998,337,931,1469,968,442
00625,0,0,0,0,0,191
00626,2581,1187,15434,2424,2545,1443
00627,2793,29,2273,1830,2572,600
00628,2581,910,15195,2282,2542,1462
00629,2793,43,2358,2047,2572,605
00630,2581,1342,15575,2323,2546,1541
00631,3225,1072,15929,2718,3163,1742
00632,2185,651,14340,1847,2271,1233
00633,3225,1793,18173,2786,3160,1695
00634,0,0,0,0,0,188
00635,0,0,0,0,0,200
00636,2585,826,2618,3923,2746,758
00637,259,317,698,328,237,341
00638,297,336,759,327,292,343
00639,607,0,412,592,568,351
00640,802,13,527,846,736,383
00641,0,0,0,0,0,208
00642,0,0,0,0,0,193
00643,456,0,0,0,456,282
00644,638,0,0,0,638,303
00645,3685,20,2687,3998,3269,901
00646,4833,57,3567,5035,4343,1087
00647,36500,0,0,0,36500,1452
00648,236,0,216,58,234,293
00649,947,2,742,681,904,403
00650,947,2,744,685,904,403
00651,0,0,0,0,0,191
00652,0,0,0,0,0,194
00653,0,0,0,0,0,193
00654,0,0,0,0,0,187
00655,27,0,0,0,27,209
00656,27,0,0,0,27,207
00657,4223,4261,67504,4224,4142,6764
00658,25787,143082,699772,122424,0,TIMEOUT
00659,12342,0,0,0,12341,791
00660,21656,146805,759022,144411,0,TIMEOUT
00661,0,0,0,0,0,192
00662,0,0,0,0,0,193
00663,0,0,0,0,0,191
00664,0,0,0,0,0,189
00665,3270,628,3913,1408,3186,664
00666,2418,545,3020,1090,2346,545
00667,1687,0,1217,1746,1568,509
00669,8410,164,7074,6057,8261,1987
00670,12772,254,7546,20779,9688,8182
00671,71,0,0,0,71,258
00672,71,0,0,0,71,225
00673,2044,24,1897,853,2016,481
00674,2349,0,0,0,2349,378
00675,90959,10800,82107,112248,0,TIMEOUT
00676,1662,12420,132054,2658,3277,12814
00677,1282,6947,87612,1838,2670,6127
00678,18511,5653,64521,24244,15734,51963
00679,472,1756,12593,625,751,698
00680,18167,1519,13865,22720,15144,13137
00681,57,6,195,100,147,293
00682,74647,11949,64731,119169,61964,428424
00683,68,72,435,104,115,293
00684,74471,31662,173161,94491,0,TIMEOUT
00685,755,9320,55223,1046,1046,2451
00686,143120,3062,83082,88810,0,TIMEOUT
00687,92,0,209,165,248,298
00688,0,0,0,0,0,191
00689,1505,63,980,1864,1290,489
00690,2266,20,1567,2622,2016,603
00691,276,0,0,0,276,262
00692,297,0,0,0,297,259
00693,0,0,0,0,0,189
00694,7831,1598,7299,7260,7187,1519
00695,10550,2293,10311,9515,9698,2303
00696,7831,1494,7321,7056,7162,1569
00697,10550,2420,10571,10912,9686,2464
00698,,0,0,0,0,24879
00699,,0,0,0,0,25936
00700,2076,3799,243147,117942,3304,196634
00701,1820,4916,143578,76368,3462,62168
00702,1561,2652,99793,64297,2279,39945
00703,2347,5879,256706,147533,4297,286437
00704,772,1164,33108,14618,1113,4177
00705,715,1620,39591,21828,1302,6190
00706,676,1182,32551,17345,993,4304
00707,535,934,20452,9481,799,1969
00708,282,480,6083,2994,431,644
00709,273,464,5501,3596,401,630
00710,473,916,19441,9833,745,1940
00711,532,867,16070,7885,765,1640
00712,1160,2402,57988,32128,1971,12518
00713,878,1966,66827,31267,1504,12841
00714,386,823,12055,6834,644,1245
00715,1016,2072,75571,51477,1572,22348
00716,1243,2429,106895,52236,2028,33399
00717,46,16,48,63,51,242
00718,222,322,2699,1835,311,420
00719,907,1951,66707,34212,1527,14449
00720,442,549,8241,4411,587,782
00721,433,783,11676,8255,670,1256
00722,899,1318,33303,16757,1276,4561
00723,472,892,15914,7871,757,1515
00724,1773,2747,115994,55514,2600,39899
00725,47,21,60,57,56,241
00726,669,1005,16144,8393,939,1595
00727,1816,3403,136996,60221,2965,47935
00728,1586,4029,96953,62268,2593,35063
00729,146,186,928,740,210,335
00730,43,10,41,34,48,233
00731,319,611,7650,4397,511,780
00732,791,1451,36687,21050,1228,5515
00733,1376,2721,139213,61147,2255,48402
00734,190,305,2560,1432,288,390
00735,575,1047,20863,11599,915,2321
00736,53,22,60,65,62,248
00737,453,831,14207,8403,673,1525
00738,368,512,6277,3492,510,751
00739,503,823,13261,6985,765,1301
00740,603,1032,22239,9977,930,2256
00741,1472,3066,133173,57506,2561,47264
00742,387,599,8788,6269,571,989
00743,1667,1937,52596,29246,2152,11060
00744,529,810,13859,7211,759,1327
00745,662,1201,30397,15658,1037,3754
00746,956,1955,67336,32906,1605,13520
00747,854,1614,47092,23075,1350,8061
00748,492,721,11606,6470,698,1102
00749,984,1442,41783,23296,1426,7112
00750,490,680,8783,5002,671,956
00751,499,885,16831,9853,743,1781
