NAME,NFTGD_NB,FTGD_NB,SUBSUMED,NEW_FTGD_NB,NEW_NFTGD_NB,NEW_OUTPUT_SIZE,OUTPUT_SIZE,BODY_SK_ATOMS_MAX,EVOL_TIME,SUMB_TIME,TIME
00174,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23,ERROR
00175,0,216,0,0,0,0,216,N/A,0,0,69
00176,30,70,67,30,67,24,94,N/A,37,8,134
00177,0,357,0,0,0,0,357,N/A,0,0,78
00178,0,46,0,0,0,0,46,N/A,0,0,43
00179,0,25,0,0,0,0,25,N/A,0,0,41
00180,0,0,0,0,0,0,0,N/A,0,0,13
00181,0,0,0,0,0,0,0,N/A,0,0,14
00182,0,0,0,0,0,0,0,N/A,0,0,14
00183,0,0,0,0,0,0,0,N/A,0,0,14
00184,0,0,0,0,0,0,0,N/A,0,0,13
00185,0,0,0,0,0,0,0,N/A,0,0,13
00186,0,0,0,0,0,0,0,N/A,0,0,14
00187,0,0,0,0,0,0,0,N/A,0,0,14
00188,0,0,0,0,0,0,0,N/A,0,0,13
00189,0,7,0,0,0,0,7,N/A,0,0,37
00190,0,12,0,0,0,0,12,N/A,0,0,39
00191,0,0,0,0,0,0,0,N/A,0,0,13
00192,0,0,0,0,0,0,0,N/A,0,0,14
00193,0,116,0,0,0,0,116,N/A,0,0,53
00194,0,0,0,0,0,0,0,N/A,0,0,13
00195,0,155,0,0,0,0,155,N/A,0,0,65
00196,0,36,0,0,0,0,36,N/A,0,0,42
00197,0,80,0,0,0,0,80,N/A,0,0,48
00198,0,85,0,0,0,0,85,N/A,0,0,49
00199,0,0,0,0,0,0,0,N/A,0,0,13
00200,0,42,0,0,0,0,42,N/A,0,0,43
00201,0,25,0,0,0,0,25,N/A,0,0,42
00202,0,165,0,0,0,0,165,N/A,0,0,63
00203,0,21,0,0,0,0,21,N/A,0,0,40
00204,0,67,0,0,0,0,67,N/A,0,0,47
00205,0,5,0,0,0,0,5,N/A,0,0,38
00206,0,8,0,0,0,0,8,N/A,0,0,41
00207,0,8,0,0,0,0,8,N/A,0,0,38
00208,0,9,0,0,0,0,9,N/A,0,0,38
00209,18,27,0,0,0,0,27,N/A,8,0,83
00210,6,19,10,0,10,0,19,N/A,8,2,74
00211,0,106,0,0,0,0,106,N/A,0,0,53
00212,2,3,0,0,0,0,3,N/A,3,0,61
00213,2,3,0,0,0,0,3,N/A,3,0,62
00214,11,21,3,0,3,0,21,N/A,25,2,93
00215,7,10,2,0,2,0,10,N/A,8,2,73
