NAME,NFTGD_NB,FTGD_NB,SUBSUMED,NEW_FTGD_NB,NEW_NFTGD_NB,NEW_OUTPUT_SIZE,OUTPUT_SIZE,TIME
00259,0,6,0,0,0,0,6,64
00260,0,0,0,0,0,0,0,76
00261,0,1,0,0,0,0,1,68
00262,0,1,0,0,0,0,1,69
00263,0,0,0,0,0,0,0,43
00264,0,2,0,0,0,0,2,82
00265,0,0,0,0,0,0,0,46
00266,0,17,0,0,0,0,17,70
00267,4,7,0,0,0,0,7,134
00268,0,3,0,0,0,0,3,68
00269,0,72,0,0,0,0,72,80
00270,0,63,0,0,0,0,63,88
00271,0,65,0,0,0,0,65,100
00272,0,77,0,0,0,0,77,101
00273,0,71,0,0,0,0,71,91
00274,0,94,0,0,0,0,94,87
00275,0,127,0,0,0,0,127,85
00276,0,13,0,0,0,0,13,98
00277,0,101,0,0,0,0,101,77
00278,0,0,0,0,0,0,0,53
00279,26,168,19,0,19,0,168,167
00280,0,257,0,0,0,0,257,120
00281,13,345,2999,1185,1995,11,356,1241
00282,66,883,650881,242592,421157,90,973,102374
00283,86,960,820862,317345,516449,129,1087,136371
00284,84,1222,1610195,512229,1121125,123,1345,275758
00285,66179,46602,17296140,20592,17311297,825,47427,TIMEOUT
00286,13961,32979,81525,13935,73932,6409,39388,49873
00287,0,25,0,0,0,0,25,66
00288,0,84,0,0,0,0,84,121
00289,0,35,0,0,0,0,35,73
00290,7,136,20,0,26,0,136,170
00292,0,31,0,0,0,0,31,72
00293,16,2083,0,0,0,0,2083,212
00294,0,41,0,0,0,0,41,74
00295,0,42,0,0,0,0,42,84
00296,16,66,48,22,25,0,66,204
00297,0,71,0,0,0,0,71,74
00298,0,81,0,0,0,0,81,94
00299,0,9,0,0,0,0,9,63
00300,0,0,0,0,0,0,0,124
00301,3,134,1,1,0,0,134,152
00302,0,374,0,0,0,0,374,114
00303,0,361,0,0,0,0,361,128
00304,0,38,0,0,0,0,38,97
00305,0,20,0,0,0,0,20,82
00306,0,14,0,0,0,0,14,66
00307,0,0,0,0,0,0,0,46
00308,0,7,0,0,0,0,7,66
00309,0,83,0,0,0,0,83,77
00310,0,22,0,0,0,0,22,69
00311,0,22,0,0,0,0,22,70
00312,0,23,0,0,0,0,23,68
00313,0,0,0,0,0,0,0,46
00314,0,0,0,0,0,0,0,67
00315,0,9,0,0,0,0,9,115
00316,1,42,0,0,0,0,42,120
00317,0,0,0,0,0,0,0,44
00318,0,67,0,0,0,0,67,72
00319,13,243,1853723,1,1922725,1,244,TIMEOUT
00320,9,146,17,1,16,0,146,215
00321,0,15,0,0,0,0,15,66
00322,0,1697,0,0,0,0,1697,149
00323,0,12,0,0,0,0,12,71
00324,0,48,0,0,0,0,48,77
00325,0,1,0,0,0,0,1,67
00326,0,0,0,0,0,0,0,43
00327,0,0,0,0,0,0,0,48
00328,0,51,0,0,0,0,51,78
00329,0,16,0,0,0,0,16,87
00330,0,3,0,0,0,0,3,68
00331,0,9,0,0,0,0,9,67
00332,9,228,17,9,10,2,230,164
00333,5,66,8,5,4,1,67,135
00334,9,228,17,9,10,2,230,145
00335,0,33,0,0,0,0,33,92
