NAME,NFTGD_NB,FTGD_NB,SUBSUMED,NEW_FTGD_NB,NEW_NFTGD_NB,NEW_OUTPUT_SIZE,OUTPUT_SIZE,BODY_SK_ATOMS_MAX,EVOL_TIME,SUMB_TIME,TIME
00300,0,0,0,0,0,0,0,N/A,0,0,13
00301,3,131,3,1,2,0,131,N/A,13,1,104
00302,0,374,0,0,0,0,374,N/A,0,0,97
00303,0,361,0,0,0,0,361,N/A,0,0,90
00304,0,38,0,0,0,0,38,N/A,0,0,46
00305,0,20,0,0,0,0,20,N/A,0,0,43
00306,0,14,0,0,0,0,14,N/A,0,0,40
00307,0,0,0,0,0,0,0,N/A,0,0,13
00308,0,7,0,0,0,0,7,N/A,0,0,36
00309,0,83,0,0,0,0,83,N/A,0,0,63
00310,0,22,0,0,0,0,22,N/A,0,0,44
00311,0,22,0,0,0,0,22,N/A,0,0,44
00312,0,23,0,0,0,0,23,N/A,0,0,44
00313,0,0,0,0,0,0,0,N/A,0,0,13
00314,0,0,0,0,0,0,0,N/A,0,0,13
00315,0,9,0,0,0,0,9,N/A,0,0,39
00316,1,42,0,0,0,0,42,N/A,10,0,87
00317,0,0,0,0,0,0,0,N/A,0,0,13
00318,0,67,0,0,0,0,67,N/A,0,0,61
00319,187,340,331507,754,344036,352,692,N/A,302394,278193,TIMEOUT
00320,124,209,1579,1131,1309,799,1008,N/A,420,160,743
00321,0,15,0,0,0,0,15,N/A,0,0,40
00322,0,1697,0,0,0,0,1697,N/A,0,0,234
00323,0,12,0,0,0,0,12,N/A,0,0,41
00324,0,48,0,0,0,0,48,N/A,0,0,64
00325,0,1,0,0,0,0,1,N/A,0,0,34
00326,0,0,0,0,0,0,0,N/A,0,0,13
00327,0,0,0,0,0,0,0,N/A,0,0,13
00328,0,51,0,0,0,0,51,N/A,0,0,63
00329,0,16,0,0,0,0,16,N/A,0,0,42
00330,0,3,0,0,0,0,3,N/A,0,0,35
00331,0,9,0,0,0,0,9,N/A,0,0,37
00332,9,231,27,19,18,6,237,N/A,36,6,144
00333,5,67,11,8,6,2,69,N/A,32,3,118
00334,9,232,20,11,13,3,235,N/A,29,5,148
00335,0,33,0,0,0,0,33,N/A,0,0,56
00336,9,229,18,10,11,2,231,N/A,36,4,146
00337,0,27,0,0,0,0,27,N/A,0,0,46
00338,9,231,22,13,15,4,235,N/A,33,4,144
00339,4,95,9,5,6,1,96,N/A,27,3,106
00340,9,230,22,14,15,5,235,N/A,31,5,140
00341,2,33,2,3,2,3,36,N/A,13,2,90
00342,0,11,0,0,0,0,11,N/A,0,0,40
00343,4,101,200251,0,222406,0,101,N/A,257505,326853,TIMEOUT
00344,187,335,261263,751,275794,476,811,N/A,326624,254060,TIMEOUT
00345,187,296,301839,680,313532,320,610,N/A,319054,262233,TIMEOUT
00346,124,205,1532,1087,1244,768,971,N/A,372,159,685
00347,8,99,50,15,46,11,110,N/A,51,6,147
00348,20,166,254,145,202,75,241,N/A,125,18,250
00349,8,98,71,29,67,20,118,N/A,90,8,181
00350,942,3347,58467,31222,29744,17,3364,N/A,558798,13151,TIMEOUT
00352,221,3256,21238,18824,20848,18434,21690,N/A,19079,37873,58232
00353,221,3432,58559,37453,39737,18434,21866,N/A,21644,50119,73190
00354,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50119,ERROR
00355,0,131,0,0,0,0,131,N/A,0,0,59
00356,1719,1901,1516,0,1515,0,1901,N/A,481,519,1543
00357,1794,1981,1917,0,1916,0,1981,N/A,526,525,1560
00358,101,267,566,0,561,0,267,N/A,334,35,522
00359,515,181,158,0,158,0,181,N/A,80,38,289
00360,1059,1616,2344,0,2344,0,1616,N/A,899,499,1875
00361,0,326,0,0,0,0,326,N/A,0,0,87
00362,0,57,0,0,0,0,57,N/A,0,0,60
00363,0,70,0,0,0,0,70,N/A,0,0,61
00364,0,37,0,0,0,0,37,N/A,0,0,46
00365,0,38,0,0,0,0,38,N/A,0,0,46
00366,40,96,124,13,118,7,103,N/A,95,12,209
00367,40,96,124,13,118,7,103,N/A,91,12,206
00368,6657,26705,45913,0,45913,0,26705,N/A,33424,48572,87982
00369,10978,41811,89045,0,89045,0,41811,N/A,86363,137612,237476
00370,12070,56379,96003,0,96003,0,56379,N/A,87660,175601,277701
00371,7464,29183,70660,1065,70244,636,29819,N/A,95583,93884,198016
00372,557,1216,709,176,709,176,1392,N/A,1801,136,2273
00373,668,1641,832,189,832,189,1830,N/A,2831,174,3381
00374,8270,34340,143766,7679,143412,7317,41657,N/A,371296,215417,TIMEOUT
00375,12632,49324,122119,6795,121840,6516,55840,N/A,301004,280770,TIMEOUT
00376,694,1623,7648,7016,7647,7015,8638,N/A,3387,6311,10189
00377,570,1476,6861,6376,6861,6376,7852,N/A,2228,3459,6156
00378,21423,61342,26889,2649,26400,2160,63502,N/A,459296,82879,TIMEOUT
00379,38615,91941,30364,1530,30066,1232,93173,N/A,370786,175217,TIMEOUT
00380,3141,6811,3256,302,3256,302,7113,N/A,50080,971,52469
00381,3216,8271,3499,534,3499,534,8805,N/A,53878,1349,56715
00382,8378,48727,17287,6535,15986,5211,53938,N/A,455702,77971,TIMEOUT
00383,13719,66052,14594,4650,13736,3788,69840,N/A,469551,50190,TIMEOUT
00384,732,889,2109,820,1976,648,1537,N/A,1793,437,2599
00385,829,874,2900,1494,2800,1373,2247,N/A,2222,730,3358
00386,7559,30770,54367,46,54374,37,30807,N/A,42596,74220,124265
00387,12025,51867,139241,38172,120339,19075,70942,N/A,149956,433273,TIMEOUT
00388,106,249,138,32,138,32,281,N/A,299,12,442
00389,100,257,100,0,100,0,257,N/A,394,7,525
00390,7029,27563,72571,15197,72008,14658,42221,N/A,363707,207457,TIMEOUT
00391,11279,45794,32309,7235,32062,7005,52799,N/A,397416,147645,TIMEOUT
00392,608,1798,8937,8279,8937,8279,10077,N/A,16226,5659,22665
00393,776,1552,6414,5597,6414,5597,7149,N/A,24634,2844,28263
00394,9071,35537,73021,2308,72754,1956,37493,N/A,236017,159502,417368
00395,21802,69263,122653,7,140362,6,69269,N/A,181326,401812,TIMEOUT
00396,597,1163,1189,619,1189,619,1782,N/A,3285,231,3849
00397,1494,3799,7251,5799,7251,5799,9598,N/A,16895,4264,22002
00398,7419,32165,80894,772,80635,513,32678,N/A,90897,101665,201945
00399,512,1363,612,122,612,122,1485,N/A,1891,101,2326
00400,7999,32252,61437,970,61272,805,33057,N/A,73759,88948,171314
00401,423,1056,854,470,854,470,1526,N/A,1632,164,2080
00402,1627,2230,1380,0,1378,0,2230,N/A,539,683,1968
00403,2479,3894,2397,0,2390,0,3894,N/A,741,1040,2621
00404,2,45,4,0,4,0,45,N/A,13,2,92
00405,4,49,10,0,10,0,49,N/A,21,3,107
00406,2,92,6,0,6,0,92,N/A,15,2,100
00407,4,97,14,0,14,0,97,N/A,30,3,119
00408,0,10,0,0,0,0,10,N/A,0,0,38
00409,0,10,0,0,0,0,10,N/A,0,0,38
00410,476,1431,74411,16187,65248,840,2271,N/A,539416,25255,TIMEOUT
00411,250,1199,1501,0,1497,0,1199,N/A,840,125,1316
00412,919,3532,6130,0,6130,0,3532,N/A,3386,847,5216
00413,1085,4625,7060,0,7060,0,4625,N/A,3588,1152,5772
00414,25,50,27,2,27,2,52,N/A,116,4,200
