NAME,NFTGD_NB,FTGD_NB,SUBSUMED,NEW_FTGD_NB,NEW_NFTGD_NB,NEW_OUTPUT_SIZE,OUTPUT_SIZE,EVOL_TIME,TIME
00468,10,720,0,0,20,0,720,2,147
00469,106,878,0,0,144,0,878,9,187
00470,88828,75146,44417,0,519574,0,75146,6159,429934
00471,85468,78977,0,0,263330,0,78977,4417,TIMEOUT
00472,88828,75146,44417,0,519574,0,75146,5179,502527
00473,85468,78977,0,0,244804,0,78977,4179,TIMEOUT
00474,32,72,3,0,27,0,72,7,153
00475,44,83,23,0,70,0,83,7,128
00476,3668,2687,3996,333206,1683,1493,4180,8741,TIMEOUT
00477,313486,10606,0,0,1275,0,10606,277,22953
00478,0,937,0,0,0,0,937,0,125
00479,645,566,8533,8285,18140,149,715,1586,3439
00480,653,663,8674,8112,18880,91,754,1785,3825
00481,0,0,0,0,0,0,0,0,44
00482,0,0,0,0,0,0,0,0,42
00483,58044,114237,1384,167973,4304,12,114249,2234,TIMEOUT
00484,75998,101911,123032,0,472607,0,101911,5613,TIMEOUT
00485,5186,5291,2,492210,25,0,5291,5782,TIMEOUT
00486,15554,46980,1866,207944,7179,0,46980,2459,TIMEOUT
00487,26030,65519,3615,223231,10166,0,65519,2619,TIMEOUT
00488,15554,46967,1880,220436,7207,0,46967,2914,TIMEOUT
00489,19014,52445,1791,201119,6414,0,52445,2291,TIMEOUT
00490,0,0,0,0,0,0,0,0,43
00491,0,0,0,0,0,0,0,0,44
00492,0,0,0,0,0,0,0,0,42
00493,0,76,0,0,0,0,76,0,77
00494,4670,0,0,0,0,0,0,0,383
00495,4670,0,0,0,0,0,0,0,397
00496,20476,3220,2832,0,30374,0,3220,460,4273
00497,16632,23,0,0,0,0,23,4,887
00498,16632,23,0,0,0,0,23,3,879
00499,0,13044,0,0,0,0,13044,0,429
00500,3242,1988,26,352602,0,0,1988,4384,TIMEOUT
00501,0,0,0,0,0,0,0,0,43
00502,3756,1924,125,1408,8723,3,1927,251,1836
00503,0,258,0,0,0,0,258,0,104
00504,96,636,133,499,318,43,679,49,278
00505,18,151,0,0,0,0,151,1,112
00508,99,267,120,49,353,23,290,20,192
00509,0,0,0,0,0,0,0,0,43
00510,0,0,0,0,0,0,0,0,42
00511,700,275,N/A,N/A,N/A,N/A,N/A,N/A,ERROR
00512,669,800,2361,984,6172,257,1057,150,671
00513,76,309,8,0,182,0,309,11,169
00514,76,309,8,0,182,0,309,11,167
00515,1740,2366,582,0,3298,0,2366,63,639
00516,0,7989,0,0,0,0,7989,0,338
00517,0,11177,0,0,0,0,11177,0,383
00518,22070,9363,0,560494,274,0,9363,6559,TIMEOUT
00519,146,93,0,0,0,0,93,1,122
00520,152,91,0,0,0,0,91,1,129
00521,14552,3640,0,0,0,0,3640,113,1035
00522,8466,169,0,0,230,0,169,12,618
00523,8466,169,0,0,230,0,169,16,675
00524,0,0,0,0,0,0,0,0,43
00525,0,0,0,0,0,0,0,0,42
00526,386,280,69,13,534,8,288,26,239
00527,1004,4,0,0,0,0,4,0,189
00528,0,0,0,0,0,0,0,0,43
00529,0,0,0,0,0,0,0,0,44
00530,6,10609,0,0,17,0,10609,2,432
00531,14,11839,1,0,35,0,11839,2,468
00532,23886,38045,70744,39884,276081,363,38408,4050,125474
00533,65814,61062,161039,79026,615684,0,61062,7294,TIMEOUT
00534,630,630,316,38976,0,315,945,886,9151
00535,16958,4621,11,516336,0,0,4621,5922,TIMEOUT
00536,13524,36438,12061,203811,60661,40,36478,4448,TIMEOUT
00537,22178,51961,15011,200816,70411,0,51961,3372,TIMEOUT
00538,204,204,102,3716,0,102,306,240,721
00539,208,208,106,3824,0,106,314,306,851
00540,3308,13265,3140,240272,6277,997,14261,9223,470466
00541,18266,27085,943,310211,2726,0,27085,3926,TIMEOUT
00542,18,18,9,90,0,9,27,27,139
00543,18,18,9,90,0,9,27,19,141
00544,11944,3271,957,0,26723,0,3271,258,5697
00545,12552,3351,1004,0,27960,0,3351,289,6640
00546,3904,775,21,0,2808,0,775,59,821
00547,3904,780,21,0,2821,0,780,68,830
00548,186,4361,0,0,500,0,4361,16,335
00549,0,458,0,0,0,0,458,0,110
00550,6,853,1,0,11,0,853,1,141
00551,0,0,0,0,0,0,0,0,43
00552,0,0,0,0,0,0,0,0,42
00553,100906,90333,8863,115349,53209,1687,92020,2347,TIMEOUT
00554,148466,106867,2480,81258,9958,544,107411,1437,TIMEOUT
00555,266,993,315,5697,181,189,1182,300,1235
00556,1144,1524,N/A,N/A,N/A,N/A,N/A,N/A,ERROR
00558,0,0,0,0,0,0,0,0,42
00559,0,0,0,0,0,0,0,0,42
00560,18,130,22,59,85,10,140,15,150
00561,214,662,494,1295,947,214,876,154,464
00562,114,710,0,0,145,0,710,9,169
00563,150,983,6,0,230,0,983,13,210
00564,0,0,0,0,0,0,0,0,44
00565,0,0,0,0,0,0,0,0,41
00566,4990,49982,9701,2285,46036,54,50036,475,9932
