NAME,NFTGD_NB,FTGD_NB,SUBSUMED,NEW_FTGD_NB,NEW_NFTGD_NB,NEW_OUTPUT_SIZE,OUTPUT_SIZE,TIME
00229,2,36,10,5,6,0,36,182
00230,2,5,2,0,2,0,5,173
00231,0,4,0,0,0,0,4,145
00232,0,38,0,0,0,0,38,148
00233,1,4,1,0,1,0,4,222
00234,0,8,0,0,0,0,8,154
00235,6,18,10,0,10,0,18,217
00236,6,22,6,0,6,0,22,226
00237,1,2,1,0,1,0,2,190
00238,5,17,14,0,14,0,17,257
00239,0,215,0,0,0,0,215,223
00240,0,51,0,0,0,0,51,168
00241,1,28,3,0,3,0,28,191
00242,5,16,14,0,14,0,16,179
00243,0,83,0,0,0,0,83,157
00244,0,0,0,0,0,0,0,88
00245,0,0,0,0,0,0,0,87
00246,0,0,0,0,0,0,0,88
00247,0,0,0,0,0,0,0,85
00248,0,101,0,0,0,0,101,213
00249,0,97,0,0,0,0,97,265
00250,0,111,0,0,0,0,111,179
00251,0,104,0,0,0,0,104,152
00252,0,107,0,0,0,0,107,177
00253,0,103,0,0,0,0,103,170
00254,0,164,0,0,0,0,164,197
00255,0,17,0,0,0,0,17,130
00256,0,65,0,0,0,0,65,135
00257,0,0,0,0,0,0,0,77
00258,0,0,0,0,0,0,0,77
00259,0,6,0,0,0,0,6,112
00260,0,0,0,0,0,0,0,79
00261,0,1,0,0,0,0,1,119
00262,0,1,0,0,0,0,1,129
00263,0,0,0,0,0,0,0,86
00264,0,2,0,0,0,0,2,128
00265,0,0,0,0,0,0,0,71
00266,0,17,0,0,0,0,17,118
00267,4,7,4,0,4,0,7,160
00268,0,3,0,0,0,0,3,131
00269,0,72,0,0,0,0,72,180
00270,0,63,0,0,0,0,63,162
00271,0,65,0,0,0,0,65,153
00272,0,77,0,0,0,0,77,198
00273,0,71,0,0,0,0,71,142
00274,0,94,0,0,0,0,94,172
00275,0,127,0,0,0,0,127,174
00276,0,13,0,0,0,0,13,120
00277,0,101,0,0,0,0,101,157
00278,0,0,0,0,0,0,0,81
00279,26,168,38,0,38,0,168,255
00280,0,257,0,0,0,0,257,156
00281,13,345,3936,1361,2756,11,356,2823
00282,65,883,1084285,319230,777952,90,973,TIMEOUT
00283,85,967,874505,313083,573860,72,1039,TIMEOUT
00284,81,1227,1206423,189086,1027135,7,1234,TIMEOUT
00285,66179,53294,3671561,68856,3612228,1060,54354,TIMEOUT
00286,13961,32979,153872,56484,103730,6409,39388,92671
00287,0,25,0,0,0,0,25,109
00288,0,84,0,0,0,0,84,124
00289,0,35,0,0,0,0,35,116
00290,7,137,24,0,30,0,137,233
00292,0,31,0,0,0,0,31,117
00293,16,2083,16,0,16,0,2083,267
00294,0,41,0,0,0,0,41,118
00295,0,42,0,0,0,0,42,118
00296,16,66,70,33,36,0,66,261
00297,0,71,0,0,0,0,71,122
00298,0,81,0,0,0,0,81,127
00299,0,9,0,0,0,0,9,106
00300,0,0,0,0,0,0,0,75
00301,3,134,5,2,3,0,134,179
00302,0,374,0,0,0,0,374,159
00303,0,361,0,0,0,0,361,161
00304,0,38,0,0,0,0,38,109
00305,0,20,0,0,0,0,20,109
00306,0,14,0,0,0,0,14,106
00307,0,0,0,0,0,0,0,67
00308,0,7,0,0,0,0,7,105
00309,0,83,0,0,0,0,83,150
00310,0,22,0,0,0,0,22,117
00311,0,22,0,0,0,0,22,107
00312,0,23,0,0,0,0,23,104
00313,0,0,0,0,0,0,0,67
00314,0,0,0,0,0,0,0,92
00315,0,9,0,0,0,0,9,104
00316,1,42,1,0,1,0,42,143
00317,0,0,0,0,0,0,0,63
00318,0,67,0,0,0,0,67,120
00319,12,417,2353925,718981,1638284,254,671,TIMEOUT
00320,8,261,22,0,22,0,261,210
00321,0,0,0,0,0,0,0,70
00322,0,1697,0,0,0,0,1697,409
00323,0,12,0,0,0,0,12,112
00324,0,48,0,0,0,0,48,123
00325,0,1,0,0,0,0,1,97
00326,0,0,0,0,0,0,0,67
00327,0,0,0,0,0,0,0,73
00328,0,51,0,0,0,0,51,118
00329,0,16,0,0,0,0,16,118
00330,0,3,0,0,0,0,3,98
00331,0,9,0,0,0,0,9,104
00332,9,228,32,13,21,2,230,207
